                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5918,                 3.9359,                 4.0295,                 1.9256,                0.01031,                0.39314,                0.00722,                 0.0021,                0.00107,                0.05539,                0.00034,                  7e-05,                 2.8899,                 51.378,                    inf,                 10.775,             0.00035007,             0.00035007,             0.00035007
                      2,                  1.729,                 3.4874,                 2.8292,                   1.97,                0.00037,                0.08824,                0.00028,                0.00012,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00070971,             0.00070971,             0.00070971
                      3,                 1.9803,                 3.5526,                 2.7683,                 2.1658,                0.00096,                0.22402,                0.00079,                0.00022,                0.00066,                0.15392,                0.00048,                  9e-05,                 3.5928,                    nan,                    inf,                 356.04,              0.0010621,              0.0010621,              0.0010621
                      4,                 1.9066,                 3.4827,                 2.7054,                 2.0904,                0.00096,                0.22402,                0.00079,                0.00022,                0.00066,                0.15392,                0.00048,                  9e-05,                    nan,                    nan,                    nan,                    nan,              0.0014072,              0.0014072,              0.0014072
                      5,                  1.975,                 3.6838,                 2.7379,                 2.1604,                0.00096,                0.22402,                0.00079,                0.00022,                0.00066,                0.15392,                0.00048,                  9e-05,                    nan,                    nan,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                      6,                 1.9623,                 3.5752,                 2.8758,                 2.1593,                0.00128,                0.21324,                0.00257,                0.00075,                0.00035,                0.05882,                0.00025,                 0.0001,                    nan,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.8189,                 3.5533,                 2.6498,                 2.0454,                0.00947,                0.17745,                0.00183,                0.00026,                  2e-05,                0.00735,                  1e-05,                      0,                 3.8458,                    nan,                    inf,                 31.233,               0.001568,               0.001568,               0.001568
                      8,                 1.7705,                 3.3235,                 2.5059,                 1.9991,                0.00127,                0.00735,                0.00024,                 0.0001,                0.00127,                0.00735,                0.00024,                0.00011,                 3.8152,                  389.4,                 44.638,                 4.9569,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7718,                  3.272,                 2.4872,                 1.9756,                0.05743,                0.16078,                0.02851,                0.01064,                0.05622,                0.14412,                0.02732,                0.00693,                 2.6192,                  28.03,                 51.232,                 3.6123,               0.001535,               0.001535,               0.001535
                     10,                 1.7471,                 3.3678,                 2.5458,                 1.9825,                0.12503,                0.18971,                0.04666,                0.00926,                0.08503,                0.17304,                0.02804,                0.00626,                 2.4889,                 11.533,                    inf,                 3.6086,              0.0015185,              0.0015185,              0.0015185
